Name,link
臺北市立建國高級中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%AB%8B%E5%BB%BA%E5%9C%8B%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
臺北市立第一女子高級中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%AB%8B%E7%AC%AC%E4%B8%80%E5%A5%B3%E5%AD%90%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
臺北市立成功高級中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%AB%8B%E6%88%90%E5%8A%9F%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
臺北市立華江高級中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%AB%8B%E8%8F%AF%E6%B1%9F%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
臺北市立大理高級中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%AB%8B%E5%A4%A7%E7%90%86%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
臺北市數位實驗高級中等學校,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E6%95%B8%E4%BD%8D%E5%AF%A6%E9%A9%97%E9%AB%98%E7%B4%9A%E4%B8%AD%E7%AD%89%E5%AD%B8%E6%A0%A1
臺北市私立強恕高級中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%A7%81%E7%AB%8B%E5%BC%B7%E6%81%95%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
臺北市開南高級中等學校,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E9%96%8B%E5%8D%97%E9%AB%98%E7%B4%9A%E4%B8%AD%E7%AD%89%E5%AD%B8%E6%A0%A1
臺北市私立南華高級中學職業進修學校,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%A7%81%E7%AB%8B%E5%8D%97%E8%8F%AF%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8%E8%81%B7%E6%A5%AD%E9%80%B2%E4%BF%AE%E5%AD%B8%E6%A0%A1
臺北市立中山女子高級中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%AB%8B%E4%B8%AD%E5%B1%B1%E5%A5%B3%E5%AD%90%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
臺北市立大同高級中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%AB%8B%E5%A4%A7%E5%90%8C%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
臺北市立大直高級中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%AB%8B%E5%A4%A7%E7%9B%B4%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
臺北市立成淵高級中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%AB%8B%E6%88%90%E6%B7%B5%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
臺北市立明倫高級中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%AB%8B%E6%98%8E%E5%80%AB%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
臺北市數位實驗高級中等學校,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E6%95%B8%E4%BD%8D%E5%AF%A6%E9%A9%97%E9%AB%98%E7%B4%9A%E4%B8%AD%E7%AD%89%E5%AD%B8%E6%A0%A1
臺北市私立靜修高級中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%A7%81%E7%AB%8B%E9%9D%9C%E4%BF%AE%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
臺北市私立大同高級中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%A7%81%E7%AB%8B%E5%A4%A7%E5%90%8C%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
